sec,nanosec,parent_frame,child_frame,x,y,z,qx,qy,qz,qw
104,787000000,ground_truth,base_link_truth,9.001954622589132,14.099019146775328,0.500009538667941,-7.974799791486144e-05,0.00012671850515858245,0.5846486629264477,0.8112865822389732
104,821000000,ground_truth,base_link_truth,9.003195616721538,14.09868880909014,0.500000399110782,-3.198907371171001e-06,5.3989815861769175e-06,0.5769548261988832,0.8167760577333512
104,821000000,ground_truth,base_link_truth,9.003195616721538,14.09868880909014,0.500000399110782,-3.198907371171001e-06,5.3989815861769175e-06,0.5769548261988832,0.8167760577333512
104,821000000,ground_truth,base_link_truth,9.003195616721538,14.09868880909014,0.500000399110782,-3.198907371171001e-06,5.3989815861769175e-06,0.5769548261988832,0.8167760577333512
104,855000000,ground_truth,base_link_truth,9.002587520851986,14.09889430399408,0.5000034598390695,-2.7643078559856106e-05,4.679923267286295e-05,0.5687277707586621,0.8225258171106696
104,923000000,ground_truth,base_link_truth,9.003131812217072,14.09873450132573,0.5000006025986452,-4.585328414984293e-06,8.29055046146754e-06,0.5516073639811359,0.8341038999501347
104,923000000,ground_truth,base_link_truth,9.003131812217072,14.09873450132573,0.5000006025986452,-4.585328414984293e-06,8.29055046146754e-06,0.5516073639811359,0.8341038999501347
104,923000000,ground_truth,base_link_truth,9.003131812217072,14.09873450132573,0.5000006025986452,-4.585328414984293e-06,8.29055046146754e-06,0.5516073639811359,0.8341038999501347
104,957000000,ground_truth,base_link_truth,9.002537342238721,14.09897666200288,0.5000040183208159,-3.0474776493452992e-05,5.527679016673582e-05,0.5432077875237895,0.839598294179588
104,991000000,ground_truth,base_link_truth,9.001946700393285,14.099228455350321,0.5000104522971284,-7.900907549778501e-05,0.00014376942500369226,0.5347546226357972,0.8450073766882539
104,991000000,ground_truth,base_link_truth,9.001946700393285,14.099228455350321,0.5000104522971284,-7.900907549778501e-05,0.00014376942500369226,0.5347546226357972,0.8450073766882539
104,991000000,ground_truth,base_link_truth,9.001946700393285,14.099228455350321,0.5000104522971284,-7.900907549778501e-05,0.00014376942500369226,0.5347546226357972,0.8450073766882539
105,25000000,ground_truth,base_link_truth,9.003106810929692,14.098772048366378,0.5000007199995218,-5.182778697321996e-06,1.0063048729154714e-05,0.526242055057174,0.8503348160348817
105,59000000,ground_truth,base_link_truth,9.002527921567106,14.09904942380554,0.5000043132276406,-3.0939185065819524e-05,6.02727835514362e-05,0.5176809117606967,0.8555737659656075
105,93000000,ground_truth,base_link_truth,9.001953432208683,14.099336184912644,0.500010924781833,-7.809277146931566e-05,0.0001526394665000053,0.50906878367416,0.8607258239946235
105,93000000,ground_truth,base_link_truth,9.001953432208683,14.099336184912644,0.500010924781833,-7.809277146931566e-05,0.0001526394665000053,0.50906878367416,0.8607258239946235
105,127000000,ground_truth,base_link_truth,9.019515778291371,14.13183952669689,0.49999999999999994,0.0,0.0,0.5320039750201968,0.8467418559175576
105,161000000,ground_truth,base_link_truth,9.023871846758528,14.140883460392924,0.49999999999999994,0.0,0.0,0.5320039750201968,0.8467418559175576
105,195000000,ground_truth,base_link_truth,9.028227915225685,14.149927394088959,0.49999999999999994,0.0,0.0,0.5320039750201968,0.8467418559175576
105,195000000,ground_truth,base_link_truth,9.028227915225685,14.149927394088959,0.49999999999999994,0.0,0.0,0.5320039750201968,0.8467418559175576
105,195000000,ground_truth,base_link_truth,9.028227915225685,14.149927394088959,0.49999999999999994,0.0,0.0,0.5320039750201968,0.8467418559175576
105,263000000,ground_truth,base_link_truth,9.03706817182088,14.168281259530882,0.49999999999999994,0.0,0.0,0.5320039750201968,0.8467418559175576
105,297000000,ground_truth,base_link_truth,9.041424240288038,14.177325193226917,0.49999999999999994,0.0,0.0,0.5320039750201968,0.8467418559175576
105,297000000,ground_truth,base_link_truth,9.041424240288038,14.177325193226917,0.49999999999999994,0.0,0.0,0.5320039750201968,0.8467418559175576
105,297000000,ground_truth,base_link_truth,9.041424240288038,14.177325193226917,0.49999999999999994,0.0,0.0,0.5320039750201968,0.8467418559175576
105,297000000,ground_truth,base_link_truth,9.041424240288038,14.177325193226917,0.49999999999999994,0.0,0.0,0.5320039750201968,0.8467418559175576
105,365000000,ground_truth,base_link_truth,9.050008257561636,14.195147062569074,0.49999999999999994,0.0,0.0,0.5320039750201968,0.8467418559175576
105,365000000,ground_truth,base_link_truth,9.050008257561636,14.195147062569074,0.49999999999999994,0.0,0.0,0.5320039750201968,0.8467418559175576
105,433000000,ground_truth,base_link_truth,9.058464155174436,14.212702933861348,0.49999999999999994,0.0,0.0,0.5320039750201968,0.8467418559175576
105,433000000,ground_truth,base_link_truth,9.058464155174436,14.212702933861348,0.49999999999999994,0.0,0.0,0.5320039750201968,0.8467418559175576
105,467000000,ground_truth,base_link_truth,9.062820223641593,14.221746867557382,0.49999999999999994,0.0,0.0,0.5320039750201968,0.8467418559175576
105,501000000,ground_truth,base_link_truth,9.06717629210875,14.230790801253416,0.49999999999999994,0.0,0.0,0.5320039750201968,0.8467418559175576
105,535000000,ground_truth,base_link_truth,9.071148001593594,14.239036740799772,0.49999999999999994,0.0,0.0,0.5320039750201968,0.8467418559175576
105,535000000,ground_truth,base_link_truth,9.071148001593594,14.239036740799772,0.49999999999999994,0.0,0.0,0.5320039750201968,0.8467418559175576
105,603000000,ground_truth,base_link_truth,9.080628856492783,14.258720596491113,0.49999999999999994,0.0,0.0,0.5320039750201968,0.8467418559175576
105,637000000,ground_truth,base_link_truth,9.08498492495994,14.267764530187147,0.49999999999999994,0.0,0.0,0.5320039750201968,0.8467418559175576
105,637000000,ground_truth,base_link_truth,9.08498492495994,14.267764530187147,0.49999999999999994,0.0,0.0,0.5320039750201968,0.8467418559175576
105,671000000,ground_truth,base_link_truth,9.089340993427097,14.276808463883182,0.49999999999999994,0.0,0.0,0.5320039750201968,0.8467418559175576
105,705000000,ground_truth,base_link_truth,9.093568942233539,14.285586399529304,0.49999999999999994,0.0,0.0,0.5320039750201968,0.8467418559175576
105,705000000,ground_truth,base_link_truth,9.093568942233539,14.285586399529304,0.49999999999999994,0.0,0.0,0.5320039750201968,0.8467418559175576
105,739000000,ground_truth,base_link_truth,9.097925010700695,14.294630333225339,0.49999999999999994,0.0,0.0,0.5320039750201968,0.8467418559175576
105,773000000,ground_truth,base_link_truth,9.102281079167852,14.303674266921373,0.49999999999999994,0.0,0.0,0.5320039750201968,0.8467418559175576
105,807000000,ground_truth,base_link_truth,9.106637147635093,14.312718200617379,0.49999999999999994,0.0,0.0,0.5320039750201968,0.8467418559175576
105,807000000,ground_truth,base_link_truth,9.106637147635093,14.312718200617379,0.49999999999999994,0.0,0.0,0.5320039750201968,0.8467418559175576
105,807000000,ground_truth,base_link_truth,9.106637147635093,14.312718200617379,0.49999999999999994,0.0,0.0,0.5320039750201968,0.8467418559175576
105,841000000,ground_truth,base_link_truth,9.11099321610225,14.321762134313413,0.49999999999999994,0.0,0.0,0.5320039750201968,0.8467418559175576
105,875000000,ground_truth,base_link_truth,9.115349284569406,14.330806068009448,0.49999999999999994,0.0,0.0,0.5320039750201968,0.8467418559175576
105,909000000,ground_truth,base_link_truth,9.119833472697445,14.340115999755337,0.49999999999999994,0.0,0.0,0.5320039750201968,0.8467418559175576
